BLACK NURSES MONTH,2022-01-12,2022-02-16,Resolution Adopted
MEMORIAL-DR. JAMES BURNETT,2021-06-15,2021-06-15,Resolution Adopted
SENATE RULES-AMEND,2021-01-29,2021-01-29,Referred to Assignments
RADIOCHEMISTRY LAB PROGRAM,2021-02-03,2021-07-23,Public Act . . . . . . . . . 102-0133
CD CORR-POINT OF CONTACT,2021-02-26,2021-08-20,Public Act . . . . . . . . . 102-0535
REPRODUCTIVE HEALTH,2022-10-21,2022-10-21,Filed with the Clerk by Rep. Mary E. Flowers
SECOND CHANCE STATE CONTRACTS,2022-01-13,2022-02-18,Rule 19(a) / Re-referred to Rules Committee
REPRODUCTIVE HEALTH,2022-08-12,2022-09-21,Added Chief Co-Sponsor Rep. La Shawn K. Ford
CHARTER SCH-UNION NEUTRALITY,2021-01-13,2021-04-23,Rule 19(a) / Re-referred to Rules Committee
CD CORR-SENTENCING UNDER 18,2022-01-14,2022-02-18,Rule 19(a) / Re-referred to Rules Committee
LIMIT RESTRAINT/SECLUSION USE,2021-02-11,2021-05-12,Resolution Adopted
EARLY INTERVENTION-TELEHEALTH,2021-02-18,2021-05-05,Added Co-Sponsor Rep. Katie Stuart
EPA-ENVIRONMENTAL JUSTICE,2021-05-25,2022-06-06,Added as Alternate Co-Sponsor Sen. Suzy Glowiak Hilton
STATE FINANCE-SPECIAL FUNDS,2022-01-27,2022-05-10,Pursuant to Senate Rule 3-9(b) / Referred to Assignments
HABITUAL CRIMINAL-REPEAL,2021-02-26,2022-02-25,Added Co-Sponsor Rep. Kambium Buckner
EPA-GREAT LAKES CCR PROTECTION,2022-01-05,2022-03-30,Added Co-Sponsor Rep. Denyse Wang Stoneback
REVENUE-HYDROGEN FUEL CREDIT,2022-10-07,2022-10-07,Filed with the Clerk by Rep. Michael J. Zalewski
CONGRATS-DR. CHRISTINE ZELENKA,2022-06-09,2022-06-09,"Filed with the Clerk by Rep. Jaime M. Andrade, Jr."
MEMORIAL-GERALD MURRAY,2021-05-26,2021-06-01,Resolution Adopted
PESTICIDES-PENALTIES,2022-01-21,2022-02-25,Rule 3-9(a) / Re-referred to Assignments
WORKERS COMP COVER PTSD,2021-02-18,2021-03-27,Rule 19(a) / Re-referred to Rules Committee
SCH CD-SEX ED/FAMILY LIFE,2021-02-18,2021-04-23,Rule 19(a) / Re-referred to Rules Committee
LOBBYIST REG-CONSULTANT,2021-02-19,2021-03-27,Rule 19(a) / Re-referred to Rules Committee
REP. CHRIS MILLER-CONDEMNS,2021-03-01,2021-03-18,Added Co-Sponsor Rep. Anna Moeller
ELECTRIC VEHICLE RECYCLING ACT,2022-01-27,2022-02-18,Rule 19(a) / Re-referred to Rules Committee
PESTICIDES-PENALTIES,2022-01-21,2022-03-04,Rule 19(a) / Re-referred to Rules Committee
LONG-TERM CARE FACILITIES,2021-05-17,2021-05-30,Added Co-Sponsor Rep. Bradley Stephens
SAFETY-TECH,2021-02-25,2021-07-16,Senate Floor Amendment No. 1 Pursuant to Senate Rule 3-9(b) / Referred to Assignments
PROCUREMENT-STATE FAIR,2022-01-19,2022-02-10,Rule 3-9(a) / Re-referred to Assignments
RENEWABLE GAS/LOW-CARBON FUELS,2021-02-18,2021-04-23,Rule 19(a) / Re-referred to Rules Committee
ANIMAL WELFARE-EUTHANASIA,2021-02-11,2021-11-29,Rule 19(b) / Motion Referred to Rules Committee
CRIM CD-CRITICAL INFRASTRUCTRE,2022-01-21,2022-01-21,Referred to Assignments
STATE GOV-REPORTS,2021-02-11,2021-04-22,Added Chief Co-Sponsor Rep. LaToya Greenwood
COMMISSION ON LGBTQ AGING,2022-01-19,2022-05-16,Public Act . . . . . . . . . 102-0885
