Growing Climate Solutions Act of 2021,2021-04-22T04:00:00+00:00,2021-04-22T04:00:00+00:00,Introduced in House
Energy Sector Innovation Credit Act of 2021,2021-07-27T04:00:00+00:00,2022-07-28T20:52:42+00:00,"ASSUMING FIRST SPONSORSHIP - Mr. Schweikert asked unanimous consent that he may hereafter be considered as the first sponsor of H.R. 4720, a bill originally introduced by Representative Reed, for the purpose of adding cosponsors and requesting reprintings pursuant to clause 7 of rule XII. Agreed to without objection."
Department of Defense Climate Resiliency and Readiness Act,2021-07-20T04:00:00+00:00,2021-07-20T04:00:00+00:00,Introduced in House
Break Free From Plastic Pollution Act of 2021,2021-03-26T04:00:00+00:00,2022-06-30T04:00:00+00:00,Subcommittee Hearings Held.
CLEAN Future Act,2021-03-02T05:00:00+00:00,2022-06-30T04:00:00+00:00,Subcommittee Hearings Held.
Department of Defense Climate Resiliency and Readiness Act,2021-07-15T04:00:00+00:00,2021-07-15T04:00:00+00:00,Introduced in Senate
Supporting the teaching of climate change in schools.,2021-01-11T05:00:00+00:00,2021-01-11T05:00:00+00:00,Introduced in House
Sustaining America’s Fisheries for the Future Act of 2021,2021-07-26T04:00:00+00:00,2022-09-29T04:00:00+00:00,Committee Consideration and Mark-up Session Held.
Stop Wall Street Looting Act,2021-10-20T04:00:00+00:00,2022-09-08T04:00:00+00:00,"Committee on Banking, Housing, and Urban Affairs. Hearings held."
Keeping All Students Safe Act,2021-05-25T04:00:00+00:00,2021-05-25T04:00:00+00:00,Introduced in House
Stop Wall Street Looting Act,2021-10-20T04:00:00+00:00,2021-10-20T04:00:00+00:00,Introduced in House
Black Maternal Health Momnibus Act of 2021,2021-02-22T05:00:00+00:00,2021-02-22T05:00:00+00:00,Introduced in Senate
FIRE Act,2021-08-13T04:00:00+00:00,2021-08-13T04:00:00+00:00,Introduced in House
Black Maternal Health Momnibus Act of 2021,2021-02-08T05:00:00+00:00,2021-04-23T04:00:00+00:00,"Referred to the Subcommittee on Crime, Terrorism, and Homeland Security."
FOREST Act of 2021,2021-10-08T04:00:00+00:00,2021-11-04T04:00:00+00:00,Sponsor introductory remarks on measure. (CR H6186-6187)
Protecting Moms and Babies Against Climate Change Act,2021-02-08T05:00:00+00:00,2021-02-09T05:00:00+00:00,Referred to the Subcommittee on Health.
Protecting Moms and Babies Against Climate Change Act,2021-02-24T05:00:00+00:00,2021-02-24T05:00:00+00:00,Introduced in Senate
Department of Peacebuilding Act of 2021,2021-02-18T05:00:00+00:00,2021-02-18T05:00:00+00:00,Introduced in House
Judiciary Accountability Act of 2021,2021-07-29T04:00:00+00:00,2021-07-29T04:00:00+00:00,Introduced in Senate
Safe Schools Improvement Act of 2021,2021-07-09T04:00:00+00:00,2021-07-09T04:00:00+00:00,Introduced in House
National Ocean Exploration Act,2021-02-23T05:00:00+00:00,2022-02-15T05:00:00+00:00,"By Senator Cantwell from Committee on Commerce, Science, and Transportation filed written report. Report No. 117-76."
A resolution marking the 4-year anniversary of the devastation of Puerto Rico and the United States Virgin Islands by Hurricane Maria.,2021-09-21T04:00:00+00:00,2021-09-21T04:00:00+00:00,Introduced in Senate
Asuncion Valdivia Heat Illness and Fatality Prevention Act of 2021,2021-03-26T04:00:00+00:00,2022-07-27T04:00:00+00:00,Committee Consideration and Mark-up Session Held.
PUGET SOS Act,2021-02-18T05:00:00+00:00,2021-06-16T04:00:00+00:00,Received in the Senate and Read twice and referred to the Committee on Environment and Public Works.
FLOODS Act,2021-03-03T05:00:00+00:00,2021-10-02T00:09:36+00:00,Held at the desk.
Next Generation Fuels Act of 2021,2021-08-24T04:00:00+00:00,2021-08-25T04:00:00+00:00,Referred to the Subcommittee on Environment and Climate Change.
Future Generations Protection Act,2021-12-07T05:00:00+00:00,2021-12-17T05:00:00+00:00,Referred to the Subcommittee on Energy and Mineral Resources.
Full-Service Community School Expansion Act of 2021,2021-02-23T05:00:00+00:00,2021-02-23T05:00:00+00:00,Introduced in House
Agriculture Resilience Act,2021-04-22T04:00:00+00:00,2021-04-23T04:00:00+00:00,Referred to the Subcommittee on Energy.
Blue Carbon Protection Act,2021-06-15T04:00:00+00:00,2021-06-22T04:00:00+00:00,Committee Hearings Held.
America’s Red Rock Wilderness Act,2021-06-08T04:00:00+00:00,2021-07-06T04:00:00+00:00,"Referred to the Subcommittee on National Parks, Forests, and Public Lands."
Judiciary Accountability Act of 2021,2021-07-29T04:00:00+00:00,2021-07-29T04:00:00+00:00,Introduced in House
