,Title,Created_Date,Latest_Date,Latest_Description
12,EPA-ENVIRONMENTAL JUSTICE,2021-05-25,2022-06-06,Added as Alternate Co-Sponsor Sen. Suzy Glowiak Hilton
36,ENVIRONMENTAL JUSTICE ACT,2021-02-18,2022-03-04,House Floor Amendment No. 1 Rule 19(c) / Re-referred to Rules Committee
131,ILLINOIS-CLIMATE CHANGE,2021-02-23,2021-02-23,Referred to Assignments
182,ENVIRONMENT-TECH,2021-01-29,2021-05-31,Rule 3-9(a) / Re-referred to Assignments
235,ENVIRONMENT-ALTERNATE FUELS,2021-01-25,2021-03-27,House Committee Amendment No. 1 Rule 19(c) / Re-referred to Rules Committee
245,ENVIRONMENTAL RESPONSE PROJECT,2022-01-27,2022-03-04,Referred to Assignments
278,EPA-ENVIRONMENTAL JUSTICE,2021-05-26,2022-03-23,Added as Co-Sponsor Sen. Diane Pappas
312,ENVIRONMENTAL RESPONSE PROJECT,2022-01-21,2022-01-21,Referred to Assignments
369,ENVIRONMENTAL JUSTICE POLICY,2020-01-29,2020-06-23,Rule 19(b) / Re-referred to Rules Committee
402,ENVIRONMENT-ALTERNATE FUELS,2019-02-14,2020-06-23,House Committee Amendment No. 1 Rule 19(c) / Re-referred to Rules Committee
414,AIRPORTS-ENVIRONMENTAL IMPACT,2020-02-14,2020-06-23,Rule 19(b) / Re-referred to Rules Committee
450,DRYCLEAN ENVIRONMENT RESPONSE,2019-01-31,2019-12-13,Public Act . . . . . . . . . 101-0605
487,ILLINOIS-CLIMATE CHANGE,2020-01-15,2020-04-12,Pursuant to Senate Rule 3-9(b) / Referred to Assignments
493,ENVIRONMENTAL IMPACT NOTE,2019-02-05,2020-05-21,"Added Co-Sponsor Rep. Jonathan ""Yoni"" Pizer"
519,AIRPORTS-ENVIRONMENTAL IMPACT,2019-02-05,2019-03-28,Rule 3-9(a) / Re-referred to Assignments
545,ENVIRONMENTAL JUSTICE AGENDA,2018-11-30,2019-05-15,Resolution Adopted
605,ILLINOIS-CLIMATE CHANGE,2019-05-15,2019-07-03,Pursuant to Senate Rule 3-9(b) / Referred to Assignments
685,RTA-ENVIRONMENT PROTECT-TECH                                               ,1997-02-06,1999-01-12,SESSION SINE DIE
689,UTILITY ENVIRONMENT INITIATIVE                                             ,1999-02-25,2001-01-09,SESSION SINE DIE
702,DNR-ASSESS ENVIRONMENT IMPACT                                              ,2001-04-03,2001-05-25,RESOLUTION ADOPTED AS AMENDED 118-000-000
704,ENVIRONMENTAL SAFETY-TECH,2004-02-06,2005-01-11,Session Sine Die
709,ENVIRONMENTAL PROTECTION-TECH,2004-02-06,2005-01-11,Session Sine Die
742,VEH CD-INSURE-ENVIRONMENTAL,2004-02-05,2005-01-11,Session Sine Die
759,SENIOR ENVIRONMENTAL CORPS,2004-02-04,2005-01-11,Session Sine Die
777,ENVIRONMENTAL PURCHASING GROUP,2004-04-02,2004-06-01,Added Chief Co-Sponsor Rep. Mike Boland
783,BALLOT INITIATIVE ENVIRONMENT,2003-02-20,2005-01-11,Session Sine Die
816,BALLOT INITIATIVE ENVIRONMENT,2003-02-18,2005-01-11,Session Sine Die
874,ENVIRONMENT-TECH,2005-02-14,2007-01-09,Session Sine Die
876,ENVIRONMENT-TECH,2005-02-14,2007-01-09,Session Sine Die
918,ENVIRONMENT-TECH,2005-02-14,2007-01-09,Session Sine Die
922,VEH CD-INSURE-ENVIRONMENTAL,2005-01-07,2007-01-09,Session Sine Die
970,ENVIRONMENT-TECH,2005-02-14,2006-06-12,Public Act . . . . . . . . . 94-0849
971,ENVIRONMENT-TECH,2005-02-14,2007-01-09,Session Sine Die
1086,ENVIRONMENT BARRIER-CONTAIN,2012-01-25,2013-01-08,Session Sine Die
1177,ENVIRONMENT BARRIER ACT-EXEMPT,2011-02-24,2013-01-08,Session Sine Die
1203,AIRPORTS-ENVIRONMENTAL IMPACT,2011-02-16,2013-01-08,Session Sine Die
1285,UTILITY-ENVIRONMENT DISCLOSURE,2012-02-10,2012-08-24,Public Act . . . . . . . . . 97-1092
1344,ENVIRONMENT-TECH,2005-02-14,2007-01-09,Session Sine Die
1366,ENVIRONMENT-TECH,2005-02-14,2007-01-09,Session Sine Die
