Chamber,District,Party,Name,Years
House,1,Democratic,Aaron Ortiz,3
House,2,Democratic,Theresa Mah,5
House,3,Democratic,Eva Dina Delgado,3
House,4,Democratic,Delia Ramirez,3
House,5,Democratic,Lamont Robinson Jr.,3
House,6,Democratic,Sonya Harper,7
House,7,Democratic,Emanuel Welch,9
House,8,Democratic,La Shawn Ford,15
House,9,Democratic,Lakesia Collins,2
House,10,Democratic,Jawaharial Williams,3
House,11,Democratic,Ann M. Williams,11
House,12,Democratic,Margaret Croke,1
House,13,Democratic,Greg Harris,15
House,14,Democratic,Kelly Cassidy,11
House,15,Democratic,Michael Kelly,1
House,16,Democratic,Denyse Wang Stoneback,1
House,17,Democratic,Jennifer Gong-Gershowitz,3
House,18,Democratic,Robyn Gabel,12
House,19,Democratic,Lindsey LaPointe,3
House,20,Republican,Brad Stephens,3
House,21,Democratic,Edgar Gonzalez Jr.,2
House,22,Democratic,Angelica Guerrero-Cuellar,1
House,23,Democratic,Michael Zalewski,13
House,24,Democratic,Elizabeth Hernandez,19
House,25,Democratic,Curtis Tarver II,3
House,26,Democratic,Kambium Buckner,3
House,27,Democratic,Justin Slaughter,5
House,28,Democratic,Robert Rita,19
House,29,Democratic,Thaddeus Jones,11
House,30,Democratic,William Davis,19
House,31,Democratic,Mary E. Flowers,37
House,32,Democratic,Cyril Nichols,1
House,33,Democratic,Marcus Evans,10
House,34,Democratic,Nicholas Smith,4
House,35,Democratic,Frances Ann Hurley,9
House,36,Democratic,Kelly M. Burke,11
House,37,Republican,Tim Ozinga,1
House,38,Democratic,Debbie Meyers-Martin,3
House,39,Democratic,Will Guzzardi,7
House,40,Democratic,Jaime Andrade,9
House,41,Democratic,Janet Yang Rohr,1
House,42,Republican,Amy Grant,3
House,43,Democratic,Anna Moeller,8
House,44,Democratic,Fred Crespo,15
House,45,Republican,Seth Lewis,1
House,46,Democratic,Deborah Conroy,9
House,47,Republican,Deanne Mazzochi,4
House,48,Democratic,Terra Costa Howard,3
House,49,Democratic,Maura Hirschauer,1
House,50,Republican,Keith Wheeler,7
House,51,Republican,Chris Bos,1
House,52,Republican,Martin McLaughlin,1
House,53,Democratic,Mark Walker,3
House,54,Republican,Thomas R. Morrison,11
House,55,Democratic,Martin J. Moylan,9
House,56,Democratic,Michelle Mussman,11
House,57,Democratic,Jonathan Carroll,5
House,58,Democratic,Bob Morgan,3
House,59,Democratic,Daniel Didech,3
House,60,Democratic,Rita Mayfield,12
House,61,Democratic,Joyce Mason,3
House,62,Democratic,Sam Yingling,9
House,63,Republican,Steven Reick,5
House,64,Republican,Tom Weber,3
