,Title,Vote,Name
354,EPA-ENVIRONMENTAL JUSTICE,yes,Nichols
355,EPA-ENVIRONMENTAL JUSTICE,yes,Guzzardi
356,EPA-ENVIRONMENTAL JUSTICE,yes,Ammons
357,EPA-ENVIRONMENTAL JUSTICE,yes,Andrade
358,EPA-ENVIRONMENTAL JUSTICE,yes,Ortiz
359,EPA-ENVIRONMENTAL JUSTICE,yes,Avelar
360,EPA-ENVIRONMENTAL JUSTICE,yes,Halpin
361,EPA-ENVIRONMENTAL JUSTICE,yes,Ramirez
362,EPA-ENVIRONMENTAL JUSTICE,yes,Rita
363,EPA-ENVIRONMENTAL JUSTICE,yes,Harper
364,EPA-ENVIRONMENTAL JUSTICE,yes,Harris
365,EPA-ENVIRONMENTAL JUSTICE,yes,Scherer
366,EPA-ENVIRONMENTAL JUSTICE,yes,"Hernandez, Elizabeth"
367,EPA-ENVIRONMENTAL JUSTICE,yes,Burke
368,EPA-ENVIRONMENTAL JUSTICE,yes,Slaughter
369,EPA-ENVIRONMENTAL JUSTICE,yes,Hirschauer
370,EPA-ENVIRONMENTAL JUSTICE,yes,Smith
371,EPA-ENVIRONMENTAL JUSTICE,yes,Hoffman
372,EPA-ENVIRONMENTAL JUSTICE,yes,Carroll
373,EPA-ENVIRONMENTAL JUSTICE,yes,Cassidy
374,EPA-ENVIRONMENTAL JUSTICE,yes,Jones
375,EPA-ENVIRONMENTAL JUSTICE,yes,Stava-Murray
376,EPA-ENVIRONMENTAL JUSTICE,yes,Collins
377,EPA-ENVIRONMENTAL JUSTICE,yes,Conroy
378,EPA-ENVIRONMENTAL JUSTICE,yes,Stoneback
379,EPA-ENVIRONMENTAL JUSTICE,yes,Kifowit
380,EPA-ENVIRONMENTAL JUSTICE,yes,Costa Howard
381,EPA-ENVIRONMENTAL JUSTICE,yes,Stuart
382,EPA-ENVIRONMENTAL JUSTICE,yes,LaPointe
383,EPA-ENVIRONMENTAL JUSTICE,yes,Croke
384,EPA-ENVIRONMENTAL JUSTICE,yes,Tarver
385,EPA-ENVIRONMENTAL JUSTICE,yes,Lilly
386,EPA-ENVIRONMENTAL JUSTICE,yes,Davis
387,EPA-ENVIRONMENTAL JUSTICE,yes,Vella
388,EPA-ENVIRONMENTAL JUSTICE,yes,Mah
389,EPA-ENVIRONMENTAL JUSTICE,yes,Delgado
390,EPA-ENVIRONMENTAL JUSTICE,yes,Walker
391,EPA-ENVIRONMENTAL JUSTICE,yes,Walsh
392,EPA-ENVIRONMENTAL JUSTICE,yes,Mason
393,EPA-ENVIRONMENTAL JUSTICE,yes,Didech
394,EPA-ENVIRONMENTAL JUSTICE,yes,Mayfield
395,EPA-ENVIRONMENTAL JUSTICE,yes,West
396,EPA-ENVIRONMENTAL JUSTICE,yes,Evans
397,EPA-ENVIRONMENTAL JUSTICE,yes,Flowers
398,EPA-ENVIRONMENTAL JUSTICE,yes,"Williams, Ann"
399,EPA-ENVIRONMENTAL JUSTICE,yes,Ford
400,EPA-ENVIRONMENTAL JUSTICE,yes,"Williams, Jawaharial"
401,EPA-ENVIRONMENTAL JUSTICE,yes,Willis
402,EPA-ENVIRONMENTAL JUSTICE,yes,Moeller
403,EPA-ENVIRONMENTAL JUSTICE,yes,Gabel
404,EPA-ENVIRONMENTAL JUSTICE,yes,Yang Rohr
405,EPA-ENVIRONMENTAL JUSTICE,yes,Morgan
406,EPA-ENVIRONMENTAL JUSTICE,yes,Gong-Gershowitz
407,EPA-ENVIRONMENTAL JUSTICE,yes,Yednock
408,EPA-ENVIRONMENTAL JUSTICE,yes,Gonzalez
409,EPA-ENVIRONMENTAL JUSTICE,yes,Yingling
410,EPA-ENVIRONMENTAL JUSTICE,yes,Moylan
411,EPA-ENVIRONMENTAL JUSTICE,yes,Gordon-Booth
412,EPA-ENVIRONMENTAL JUSTICE,yes,Zalewski
413,EPA-ENVIRONMENTAL JUSTICE,yes,Mussman
414,EPA-ENVIRONMENTAL JUSTICE,yes,Welch
415,EPA-ENVIRONMENTAL JUSTICE,yes,Ness
416,EPA-ENVIRONMENTAL JUSTICE,yes,Greenwood
417,EPA-ENVIRONMENTAL JUSTICE,yes,Guerrero-Cuellar
418,EPA-ENVIRONMENTAL JUSTICE,no,Niemerg
419,EPA-ENVIRONMENTAL JUSTICE,no,Haas
420,EPA-ENVIRONMENTAL JUSTICE,no,Batinick
421,EPA-ENVIRONMENTAL JUSTICE,no,Bennett
422,EPA-ENVIRONMENTAL JUSTICE,no,Reick
423,EPA-ENVIRONMENTAL JUSTICE,no,Hammond
424,EPA-ENVIRONMENTAL JUSTICE,no,Bos
425,EPA-ENVIRONMENTAL JUSTICE,no,Bourne
426,EPA-ENVIRONMENTAL JUSTICE,no,Severin
427,EPA-ENVIRONMENTAL JUSTICE,no,Butler
428,EPA-ENVIRONMENTAL JUSTICE,no,Sosnowski
429,EPA-ENVIRONMENTAL JUSTICE,no,Jacobs
430,EPA-ENVIRONMENTAL JUSTICE,no,Caulkins
431,EPA-ENVIRONMENTAL JUSTICE,no,Chesney
432,EPA-ENVIRONMENTAL JUSTICE,no,Keicher
433,EPA-ENVIRONMENTAL JUSTICE,no,Stephens
434,EPA-ENVIRONMENTAL JUSTICE,no,Swanson
435,EPA-ENVIRONMENTAL JUSTICE,no,Lewis
436,EPA-ENVIRONMENTAL JUSTICE,no,Davidsmeyer
437,EPA-ENVIRONMENTAL JUSTICE,no,Ugaste
438,EPA-ENVIRONMENTAL JUSTICE,no,Luft
439,EPA-ENVIRONMENTAL JUSTICE,no,Manley
440,EPA-ENVIRONMENTAL JUSTICE,no,DeLuca
441,EPA-ENVIRONMENTAL JUSTICE,no,Marron
442,EPA-ENVIRONMENTAL JUSTICE,no,Demmer
443,EPA-ENVIRONMENTAL JUSTICE,no,Weber
444,EPA-ENVIRONMENTAL JUSTICE,no,Durkin
445,EPA-ENVIRONMENTAL JUSTICE,no,Mazzochi
446,EPA-ENVIRONMENTAL JUSTICE,no,Elik
447,EPA-ENVIRONMENTAL JUSTICE,no,Wheeler
448,EPA-ENVIRONMENTAL JUSTICE,no,McCombie
449,EPA-ENVIRONMENTAL JUSTICE,no,Wilhour
450,EPA-ENVIRONMENTAL JUSTICE,no,Frese
451,EPA-ENVIRONMENTAL JUSTICE,no,Miller
452,EPA-ENVIRONMENTAL JUSTICE,no,Friess
453,EPA-ENVIRONMENTAL JUSTICE,no,Windhorst
454,EPA-ENVIRONMENTAL JUSTICE,no,Morrison
455,EPA-ENVIRONMENTAL JUSTICE,no,Grant
456,EPA-ENVIRONMENTAL JUSTICE,excused,Halbrook
457,EPA-ENVIRONMENTAL JUSTICE,excused,Ozinga
458,EPA-ENVIRONMENTAL JUSTICE,excused,Hamilton
459,EPA-ENVIRONMENTAL JUSTICE,excused,Brady
460,EPA-ENVIRONMENTAL JUSTICE,excused,"Hernandez, Barbara"
461,EPA-ENVIRONMENTAL JUSTICE,excused,Sommer
462,EPA-ENVIRONMENTAL JUSTICE,excused,Spain
463,EPA-ENVIRONMENTAL JUSTICE,excused,Welter
464,EPA-ENVIRONMENTAL JUSTICE,excused,McLaughlin
465,EPA-ENVIRONMENTAL JUSTICE,excused,Meier
466,EPA-ENVIRONMENTAL JUSTICE,not voting,Hurley
467,EPA-ENVIRONMENTAL JUSTICE,not voting,Kelly
468,EPA-ENVIRONMENTAL JUSTICE,not voting,Crespo
469,EPA-ENVIRONMENTAL JUSTICE,not voting,Meyers-Martin
470,EPA-ENVIRONMENTAL JUSTICE,absent,Robinson
471,EPA-ENVIRONMENTAL JUSTICE,absent,Buckner
11615,ENVIRONMENTAL RESPONSE PROJECT,yes,Nichols
11616,ENVIRONMENTAL RESPONSE PROJECT,yes,Guzzardi
11617,ENVIRONMENTAL RESPONSE PROJECT,yes,Ammons
11618,ENVIRONMENTAL RESPONSE PROJECT,yes,Niemerg
11619,ENVIRONMENTAL RESPONSE PROJECT,yes,Haas
11620,ENVIRONMENTAL RESPONSE PROJECT,yes,Andrade
11621,ENVIRONMENTAL RESPONSE PROJECT,yes,Ortiz
11622,ENVIRONMENTAL RESPONSE PROJECT,yes,Avelar
11623,ENVIRONMENTAL RESPONSE PROJECT,yes,Halpin
11624,ENVIRONMENTAL RESPONSE PROJECT,yes,Batinick
11625,ENVIRONMENTAL RESPONSE PROJECT,yes,Ramirez
11626,ENVIRONMENTAL RESPONSE PROJECT,yes,Bennett
11627,ENVIRONMENTAL RESPONSE PROJECT,yes,Reick
11628,ENVIRONMENTAL RESPONSE PROJECT,yes,Hammond
11629,ENVIRONMENTAL RESPONSE PROJECT,yes,Bos
11630,ENVIRONMENTAL RESPONSE PROJECT,yes,Rita
11631,ENVIRONMENTAL RESPONSE PROJECT,yes,Harper
11632,ENVIRONMENTAL RESPONSE PROJECT,yes,Bourne
11633,ENVIRONMENTAL RESPONSE PROJECT,yes,Harris
11634,ENVIRONMENTAL RESPONSE PROJECT,yes,Scherer
11635,ENVIRONMENTAL RESPONSE PROJECT,yes,Severin
11636,ENVIRONMENTAL RESPONSE PROJECT,yes,"Hernandez, Elizabeth"
11637,ENVIRONMENTAL RESPONSE PROJECT,yes,Burke
11638,ENVIRONMENTAL RESPONSE PROJECT,yes,Slaughter
11639,ENVIRONMENTAL RESPONSE PROJECT,yes,Hirschauer
11640,ENVIRONMENTAL RESPONSE PROJECT,yes,Butler
11641,ENVIRONMENTAL RESPONSE PROJECT,yes,Smith
11642,ENVIRONMENTAL RESPONSE PROJECT,yes,Hoffman
11643,ENVIRONMENTAL RESPONSE PROJECT,yes,Carroll
11644,ENVIRONMENTAL RESPONSE PROJECT,yes,Hurley
11645,ENVIRONMENTAL RESPONSE PROJECT,yes,Cassidy
11646,ENVIRONMENTAL RESPONSE PROJECT,yes,Jacobs
11647,ENVIRONMENTAL RESPONSE PROJECT,yes,Caulkins
11648,ENVIRONMENTAL RESPONSE PROJECT,yes,Jones
11649,ENVIRONMENTAL RESPONSE PROJECT,yes,Chesney
11650,ENVIRONMENTAL RESPONSE PROJECT,yes,Stava-Murray
11651,ENVIRONMENTAL RESPONSE PROJECT,yes,Keicher
11652,ENVIRONMENTAL RESPONSE PROJECT,yes,Collins
11653,ENVIRONMENTAL RESPONSE PROJECT,yes,Stephens
11654,ENVIRONMENTAL RESPONSE PROJECT,yes,Kelly
11655,ENVIRONMENTAL RESPONSE PROJECT,yes,Conroy
11656,ENVIRONMENTAL RESPONSE PROJECT,yes,Stoneback
11657,ENVIRONMENTAL RESPONSE PROJECT,yes,Kifowit
11658,ENVIRONMENTAL RESPONSE PROJECT,yes,Costa Howard
11659,ENVIRONMENTAL RESPONSE PROJECT,yes,Stuart
11660,ENVIRONMENTAL RESPONSE PROJECT,yes,LaPointe
11661,ENVIRONMENTAL RESPONSE PROJECT,yes,Crespo
11662,ENVIRONMENTAL RESPONSE PROJECT,yes,Swanson
11663,ENVIRONMENTAL RESPONSE PROJECT,yes,Lewis
