,Title,Created_Date,Latest_Date,Latest_Description
161,Environmental Justice Act of 2019,2019-07-23,2019-07-23,Introduced in Senate
162,Environmental Justice Act of 2019,2019-07-23,2019-08-15,"Referred to the Subcommittee on the Constitution, Civil Rights, and Civil Liberties."
241,Targeting Environmental and Climate Recklessness Act of 2019,2019-11-21,2019-11-21,Introduced in Senate
268,Encouraging the Environmental Protection Agency to maintain …,2020-01-14,2020-01-15,Referred to the Subcommittee on Water Resources and Environment.
272,Targeting Environmental and Climate Recklessness Act of 2019,2020-01-16,2020-02-07,Referred to the Subcommittee on Immigration and Citizenship.
280,Expressing the sense of the House of Representatives that …,2020-02-04,2020-02-04,Introduced in House
290,Encouraging the Trump Administration to maintain protections …,2020-02-11,2020-02-11,Introduced in House
301,Environmental Justice For All Act,2020-02-27,2020-10-01,Committee Hearings Held.
308,Maintain protections under the National Environmental Policy Act …,2020-03-10,2020-03-10,Introduced in Senate
374,Environmental Justice For All Act,2020-08-03,2020-08-03,Introduced in Senate
403,A resolution encouraging the Administrator of the Environmental Protection Agency …,2020-09-23,2020-09-23,Introduced in Senate
428,Restructuring Environmentally Sound Pensions in Order to Negate Disaster Act of 2020,2020-11-17,2020-11-17,Introduced in House
481,Environmental Justice Mapping and Data Collection Act of 2021,2021-01-28,2021-01-28,Introduced in Senate
482,Environmental Justice Mapping and Data Collection Act of 2021,2021-01-28,2021-02-02,Referred to the Subcommittee on Environment and Climate Change.
580,Environmental Justice For All Act,2021-03-18,2022-07-27,Committee Consideration and Mark-up Session Held.
581,Environmental Justice For All Act,2021-03-18,2021-03-18,Introduced in Senate
612,Environmental Justice Act of 2021,2021-04-08,2021-10-19,"Referred to the Subcommittee on the Constitution, Civil Rights, and Civil Liberties."
613,Promptly resume negotiations to conclude the Environmental Goods Agreement …,2021-04-08,2021-04-08,Introduced in House
614,Protection from Cumulative Emissions and Underenforcement of Environmental Law Act of 2021,2021-04-08,2021-04-13,Referred to the Subcommittee on Environment and Climate Change.
681,Restore Employment in Natural and Environmental Work Conservation Corps Act,2021-04-26,2021-04-26,Introduced in Senate
690,Targeting Environmental and Climate Recklessness Act of 2021,2021-04-28,2021-04-28,Introduced in Senate
716,Targeting Environmental and Climate Recklessness Act of 2021,2021-05-14,2021-11-09,Referred to the Subcommittee on Immigration and Citizenship.
848,Environmental Justice Act of 2021,2021-08-05,2021-08-05,Introduced in Senate
