identifier,title,description,date,classification,Chamber
HB 1443,REGULATION-TECH,Filed with the Clerk by Rep. Emanuel Chris Welch,2021-02-11,Filing,House
HB 1443,REGULATION-TECH,Referred to Rules Committee,2021-02-17,Referral Committee,House
HB 1443,REGULATION-TECH,First Reading,2021-02-17,Reading 1,House
HB 1443,REGULATION-TECH,Assigned to Executive Committee,2021-03-02,Referral Committee,House
HB 1443,REGULATION-TECH,Do Pass / Short Debate Executive Committee;  014-000-000,2021-03-11,Committee Passage,House
HB 1443,REGULATION-TECH,Second Reading - Short Debate,2021-03-17,Reading 2,House
HB 1443,REGULATION-TECH,Placed on Calendar 2nd Reading - Short Debate,2021-03-17,Placed on Calendar,House
HB 1443,REGULATION-TECH,Held on Calendar Order of Second Reading - Short Debate,2021-03-17,Reading 2,House
HB 1443,REGULATION-TECH,House Floor Amendment No. 1 Filed with Clerk by Rep. La Shawn K. Ford,2021-04-20,Amendment Introduction,House
HB 1443,REGULATION-TECH,House Floor Amendment No. 1 Referred to Rules Committee,2021-04-20,Referral Committee,House
HB 1443,REGULATION-TECH,Chief Sponsor Changed to Rep. La Shawn K. Ford,2021-04-20,Sponsors Amended,House
HB 1443,REGULATION-TECH,Added Chief Co-Sponsor Rep. Emanuel Chris Welch,2021-04-20,Sponsors Amended,House
HB 1443,REGULATION-TECH,Added Co-Sponsor Rep. Will Guzzardi,2021-04-20,Sponsors Amended,House
HB 1443,REGULATION-TECH,Added Co-Sponsor Rep. Greg Harris,2021-04-20,Sponsors Amended,House
HB 1443,REGULATION-TECH,"Added Co-Sponsor Rep. Marcus C. Evans, Jr.",2021-04-20,Sponsors Amended,House
HB 1443,REGULATION-TECH,Added Co-Sponsor Rep. Mary E. Flowers,2021-04-20,Sponsors Amended,House
HB 1443,REGULATION-TECH,"Added Co-Sponsor Rep. Lamont J. Robinson, Jr.",2021-04-20,Sponsors Amended,House
HB 1443,REGULATION-TECH,Added Co-Sponsor Rep. Margaret Croke,2021-04-20,Sponsors Amended,House
HB 1443,REGULATION-TECH,Added Co-Sponsor Rep. Bob Morgan,2021-04-20,Sponsors Amended,House
HB 1443,REGULATION-TECH,Added Co-Sponsor Rep. Michael J. Zalewski,2021-04-20,Sponsors Amended,House
HB 1443,REGULATION-TECH,"Added Co-Sponsor Rep. Jaime M. Andrade, Jr.",2021-04-20,Sponsors Amended,House
HB 1443,REGULATION-TECH,Added Co-Sponsor Rep. William Davis,2021-04-20,Sponsors Amended,House
HB 1443,REGULATION-TECH,Added Co-Sponsor Rep. Sam Yingling,2021-04-20,Sponsors Amended,House
