,id_x,identifier,title,classification_x,subject,session_identifier,jurisdiction,organization_classification,bill_id,id_y,organization_id,description,date,classification_y,order
65324,ocd-bill/395d63ff-9803-4657-be0b-b9bfd2695f07,HB 250,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/395d63ff-9803-4657-be0b-b9bfd2695f07,af7d4c89-8509-46f3-8a26-3bb972074804,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,"Filed with the Clerk by Rep. Lawrence Walsh, Jr.",2021-01-25,['filing'],0
19482,ocd-bill/35b01071-c9be-4514-b28f-70637eb706d2,HB 248,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/35b01071-c9be-4514-b28f-70637eb706d2,60cbf45f-efc0-4e36-a26a-283f701067e9,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,"Filed with the Clerk by Rep. Lawrence Walsh, Jr.",2021-01-25,['filing'],0
4256,ocd-bill/670c86b2-3592-4af6-be73-bffc60c4a513,HB 249,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/670c86b2-3592-4af6-be73-bffc60c4a513,53169960-a9cd-46f1-919c-fb4783783664,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,"Filed with the Clerk by Rep. Lawrence Walsh, Jr.",2021-01-25,['filing'],0
2950,ocd-bill/2f06b3de-9ecb-481d-a1e4-304abf9d6bea,HB 252,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/2f06b3de-9ecb-481d-a1e4-304abf9d6bea,d4d190fe-2e2b-4c24-8f82-7a93ef504738,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,"Filed with the Clerk by Rep. Lawrence Walsh, Jr.",2021-01-25,['filing'],0
779,ocd-bill/b66d886c-4cf3-4ae1-8406-f36ab16d1bb4,SB 68,REGULATION-TECH,['bill'],[],102nd,Illinois,upper,ocd-bill/b66d886c-4cf3-4ae1-8406-f36ab16d1bb4,69cc9a87-91fc-4d86-b29d-cac6a3b796a4,ocd-organization/20782ae5-cc22-4470-846b-fd9788ad3db7,Filed with Secretary by Sen. Neil Anderson,2021-01-29,['filing'],0
65326,ocd-bill/395d63ff-9803-4657-be0b-b9bfd2695f07,HB 250,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/395d63ff-9803-4657-be0b-b9bfd2695f07,1e7ec11f-03a0-4911-b0af-8b4c86eaad37,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Referred to Rules Committee,2021-01-29,['referral-committee'],2
65325,ocd-bill/395d63ff-9803-4657-be0b-b9bfd2695f07,HB 250,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/395d63ff-9803-4657-be0b-b9bfd2695f07,12f9330e-f11d-4d44-a426-fb5a923869d7,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,First Reading,2021-01-29,['reading-1'],1
61939,ocd-bill/2f8262ef-c7a8-4181-95d3-f093f1b50d59,SB 37,REGULATION-TECH,['bill'],[],102nd,Illinois,upper,ocd-bill/2f8262ef-c7a8-4181-95d3-f093f1b50d59,42382599-ef00-49d9-b1d0-a790c9d4a474,ocd-organization/20782ae5-cc22-4470-846b-fd9788ad3db7,Referred to Assignments,2021-01-29,['referral-committee'],2
61938,ocd-bill/2f8262ef-c7a8-4181-95d3-f093f1b50d59,SB 37,REGULATION-TECH,['bill'],[],102nd,Illinois,upper,ocd-bill/2f8262ef-c7a8-4181-95d3-f093f1b50d59,1e237e91-1bc4-4bd9-ab3b-98be6dcf1440,ocd-organization/20782ae5-cc22-4470-846b-fd9788ad3db7,First Reading,2021-01-29,['reading-1'],1
61937,ocd-bill/2f8262ef-c7a8-4181-95d3-f093f1b50d59,SB 37,REGULATION-TECH,['bill'],[],102nd,Illinois,upper,ocd-bill/2f8262ef-c7a8-4181-95d3-f093f1b50d59,a7b6e38e-ec45-4090-99f5-2515c22e81ad,ocd-organization/20782ae5-cc22-4470-846b-fd9788ad3db7,Filed with Secretary by Sen. Don Harmon,2021-01-29,['filing'],0
5225,ocd-bill/61785e54-1b67-49cf-acc5-369a69b01112,SB 26,REGULATION-TECH,['bill'],[],102nd,Illinois,upper,ocd-bill/61785e54-1b67-49cf-acc5-369a69b01112,a2b0f9d1-6b91-43a9-a495-1992a3e1c62e,ocd-organization/20782ae5-cc22-4470-846b-fd9788ad3db7,Referred to Assignments,2021-01-29,['referral-committee'],2
5224,ocd-bill/61785e54-1b67-49cf-acc5-369a69b01112,SB 26,REGULATION-TECH,['bill'],[],102nd,Illinois,upper,ocd-bill/61785e54-1b67-49cf-acc5-369a69b01112,c13cc58c-6690-4616-a353-4439ae518eb4,ocd-organization/20782ae5-cc22-4470-846b-fd9788ad3db7,First Reading,2021-01-29,['reading-1'],1
4258,ocd-bill/670c86b2-3592-4af6-be73-bffc60c4a513,HB 249,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/670c86b2-3592-4af6-be73-bffc60c4a513,128d4b3c-fcba-43a6-a8a8-20122622da17,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Referred to Rules Committee,2021-01-29,['referral-committee'],2
