,Race,Date,deaths
0,White,2015-05-17,10
1,White,2015-07-23,8
2,White,2015-09-04,7
3,White,2015-03-17,6
4,White,2015-02-23,6
5,White,2015-08-22,6
6,White,2015-07-05,6
7,White,2015-10-24,6
8,White,2015-02-17,6
9,White,2015-07-09,6
10,White,2015-10-20,6
11,White,2015-03-21,6
12,White,2015-05-27,6
13,Hispanic,2015-06-03,6
14,White,2015-11-06,6
15,White,2015-08-03,5
16,White,2015-08-21,5
17,Black,2015-04-02,5
18,White,2015-07-12,5
19,White,2015-07-18,5
20,White,2015-01-14,5
21,Black,2015-04-04,5
22,White,2015-04-26,5
23,Black,2015-03-06,5
24,White,2015-10-10,5
25,White,2015-03-19,5
26,White,2015-08-23,5
27,Black,2015-04-15,5
28,White,2015-11-05,5
29,White,2015-11-17,5
30,White,2015-10-15,5
31,White,2015-06-23,5
32,White,2015-09-21,5
33,White,2015-12-27,5
34,White,2015-02-28,5
35,Black,2015-09-23,5
36,White,2015-06-09,5
37,Black,2015-09-05,5
38,White,2015-12-14,5
39,White,2015-02-08,5
40,White,2015-07-07,5
41,Black,2015-01-07,5
42,White,2015-03-27,5
43,White,2015-12-05,5
44,White,2015-04-09,5
45,Hispanic,2015-04-29,4
46,Black,2015-02-20,4
47,Black,2015-03-10,4
48,White,2015-04-03,4
49,White,2015-04-02,4
50,White,2015-03-31,4
51,Black,2015-01-14,4
52,Black,2015-02-28,4
53,White,2015-01-27,4
54,Black,2015-02-03,4
55,Black,2015-03-01,4
56,White,2015-04-24,4
57,Black,2015-11-19,4
58,Black,2015-10-17,4
59,White,2015-06-13,4
60,Hispanic,2015-11-09,4
61,Hispanic,2015-11-11,4
62,Hispanic,2015-10-21,4
63,White,2015-05-20,4
64,Black,2015-08-07,4
65,Black,2015-11-15,4
66,Black,2015-11-17,4
67,White,2015-05-15,4
68,Hispanic,2015-01-26,4
69,White,2015-02-15,4
70,White,2015-07-06,4
71,White,2015-02-16,4
72,Black,2015-07-04,4
73,Black,2015-12-21,4
74,White,2015-07-17,4
75,Black,2015-05-21,4
76,White,2015-02-02,4
77,White,2015-08-05,4
78,Black,2015-05-20,4
79,Black,2015-10-15,4
80,White,2015-11-29,4
81,White,2015-11-24,4
82,White,2015-03-11,4
83,White,2015-12-21,4
84,White,2015-01-06,4
85,White,2015-01-15,4
86,White,2015-12-22,4
87,White,2015-10-28,4
88,White,2015-11-01,4
89,White,2015-11-22,4
90,White,2015-03-18,4
91,Hispanic,2015-09-15,4
92,White,2015-01-08,4
93,White,2015-01-18,4
94,White,2015-03-24,4
95,White,2015-11-25,4
96,White,2015-03-22,4
97,Hispanic,2015-06-11,4
98,,2015-08-01,3
99,White,2015-04-25,3
100,White,2015-11-16,3
101,Black,2015-03-25,3
102,Black,2015-04-22,3
103,Black,2015-03-27,3
104,White,2015-12-12,3
105,Black,2015-08-15,3
106,White,2015-08-07,3
107,White,2015-11-13,3
108,Hispanic,2015-02-13,3
109,Black,2015-04-17,3
110,Hispanic,2015-07-07,3
111,White,2015-04-23,3
112,Black,2015-08-12,3
113,Hispanic,2015-12-02,3
114,White,2015-04-28,3
115,Hispanic,2015-02-04,3
116,White,2015-08-11,3
117,,2015-06-11,3
118,Hispanic,2015-10-11,3
119,White,2015-10-14,3
120,White,2015-07-16,3
121,Black,2015-07-10,3
122,White,2015-01-13,3
123,White,2015-12-03,3
124,White,2015-03-13,3
125,Black,2015-12-12,3
126,White,2015-05-08,3
127,Black,2015-12-20,3
128,Hispanic,2015-07-31,3
129,White,2015-07-13,3
130,White,2015-03-09,3
131,Black,2015-07-25,3
132,Hispanic,2015-10-15,3
133,White,2015-07-20,3
134,White,2015-05-19,3
135,White,2015-07-21,3
136,Black,2015-11-18,3
137,Hispanic,2015-07-29,3
138,Black,2015-08-05,3
139,Hispanic,2015-09-05,3
140,White,2015-07-25,3
141,White,2015-03-16,3
142,Black,2015-05-12,3
143,White,2015-12-10,3
144,White,2015-07-27,3
145,Black,2015-05-08,3
146,,2015-05-31,3
147,White,2015-12-13,3
148,Black,2015-04-29,3
149,Black,2015-01-15,3
150,White,2015-09-10,3
151,Hispanic,2015-04-13,3
152,White,2015-09-14,3
153,White,2015-08-19,3
154,,2015-09-22,3
155,White,2015-04-08,3
156,White,2015-06-08,3
157,White,2015-04-06,3
158,White,2015-09-17,3
159,White,2015-09-18,3
160,White,2015-09-20,3
161,White,2015-06-06,3
162,White,2015-09-22,3
163,White,2015-09-23,3
164,Black,2015-10-22,3
165,White,2015-04-05,3
166,White,2015-05-26,3
167,Hispanic,2015-09-27,3
168,White,2015-10-02,3
169,White,2015-01-04,3
170,White,2015-10-05,3
171,White,2015-05-29,3
172,Hispanic,2015-06-06,3
173,,2015-10-14,3
174,White,2015-09-12,3
175,White,2015-08-15,3
176,White,2015-08-28,3
177,White,2015-01-28,3
